season,season_week,week_start_date,denv1_cases,denv2_cases,denv3_cases,denv4_cases,other_positive_cases,additional_cases,total_cases
1991/1992,34,12/17/1991,1,2,0,2,69,4,78
1991/1992,35,12/24/1991,0,1,0,3,64,2,70
1991/1992,36,1/1/1992,0,1,0,1,63,16,81
1991/1992,37,1/8/1992,2,2,0,5,89,6,104
1991/1992,38,1/15/1992,4,2,0,1,79,4,90
1991/1992,39,1/22/1992,1,1,0,0,83,0,85
1991/1992,40,1/29/1992,0,0,0,2,51,2,55
1991/1992,41,2/5/1992,0,0,0,3,43,7,53
1991/1992,42,2/12/1992,2,2,0,1,54,6,65
1991/1992,43,2/19/1992,1,0,0,1,31,0,33
1991/1992,44,2/26/1992,3,2,0,1,32,0,38
1991/1992,45,3/4/1992,5,1,0,1,52,0,59
1991/1992,46,3/11/1992,3,1,0,3,33,0,40
1991/1992,47,3/18/1992,1,0,0,0,36,0,37
1991/1992,48,3/25/1992,2,0,0,1,26,0,29
1991/1992,49,4/1/1992,2,0,0,0,28,0,30
1991/1992,50,4/8/1992,1,2,0,0,27,0,30
1991/1992,51,4/15/1992,1,0,0,0,27,0,28
1991/1992,52,4/22/1992,2,0,0,0,21,0,23
1992/1993,1,4/29/1992,0,0,0,1,23,0,24
1992/1993,2,5/6/1992,2,2,0,0,25,0,29
1992/1993,3,5/13/1992,3,1,0,0,22,0,26
1992/1993,4,5/20/1992,1,0,0,1,21,0,23
1992/1993,5,5/27/1992,4,0,0,0,16,0,20
1992/1993,6,6/3/1992,0,0,0,0,19,0,19
1992/1993,7,6/10/1992,1,0,0,0,19,0,20
1992/1993,8,6/17/1992,3,0,0,2,21,0,26
1992/1993,9,6/24/1992,0,0,0,2,27,0,29
1992/1993,10,7/1/1992,2,0,0,1,28,0,31
1992/1993,11,7/8/1992,0,0,0,0,28,0,28
1992/1993,12,7/15/1992,0,0,0,0,26,0,26
1992/1993,13,7/22/1992,3,1,0,1,27,0,32
1992/1993,14,7/29/1992,2,3,0,3,25,2,35
1992/1993,15,8/5/1992,4,2,0,1,22,4,33
1992/1993,16,8/12/1992,2,0,0,1,21,6,30
1992/1993,17,8/19/1992,9,4,0,2,24,13,52
1992/1993,18,8/26/1992,7,5,0,0,34,13,59
1992/1993,19,9/2/1992,11,2,0,1,33,20,67
1992/1993,20,9/9/1992,8,2,0,4,37,14,65
1992/1993,21,9/16/1992,4,1,0,1,45,23,74
1992/1993,22,9/23/1992,6,4,0,0,40,20,70
1992/1993,23,9/30/1992,9,4,0,1,29,18,61
1992/1993,24,10/7/1992,4,2,0,1,31,15,53
1992/1993,25,10/14/1992,2,1,0,0,44,29,76
1992/1993,26,10/21/1992,0,1,0,0,27,33,61
1992/1993,27,10/28/1992,3,0,0,1,31,22,57
1992/1993,28,11/4/1992,7,2,0,0,22,13,44
1992/1993,29,11/11/1992,0,1,0,1,19,13,34
1992/1993,30,11/18/1992,0,1,0,0,23,23,47
1992/1993,31,11/25/1992,0,0,0,0,35,25,60
1992/1993,32,12/2/1992,0,0,0,1,35,24,60
1992/1993,33,12/9/1992,1,0,0,0,28,24,53
1992/1993,34,12/16/1992,0,1,0,1,22,12,36
1992/1993,35,12/23/1992,1,1,0,0,23,6,31
1992/1993,36,1/1/1993,3,0,0,0,23,4,30
1992/1993,37,1/8/1993,0,0,0,1,26,5,32
1992/1993,38,1/15/1993,0,1,0,0,27,0,28
1992/1993,39,1/22/1993,0,2,0,0,28,3,33
1992/1993,40,1/29/1993,4,3,0,0,24,2,33
1992/1993,41,2/5/1993,2,0,0,0,33,0,35
1992/1993,42,2/12/1993,0,0,0,1,21,0,22
1992/1993,43,2/19/1993,1,0,0,0,12,0,13
1992/1993,44,2/26/1993,2,0,0,0,11,0,13
1992/1993,45,3/5/1993,0,1,0,0,20,0,21
1992/1993,46,3/12/1993,2,1,0,0,14,0,17
1992/1993,47,3/19/1993,0,1,0,0,10,0,11
1992/1993,48,3/26/1993,2,0,0,0,6,0,8
1992/1993,49,4/2/1993,0,0,0,0,8,0,8
1992/1993,50,4/9/1993,0,0,0,1,5,0,6
1992/1993,51,4/16/1993,0,1,0,0,5,0,6
1992/1993,52,4/23/1993,1,0,0,0,6,0,7
1993/1994,1,4/30/1993,1,1,0,0,10,0,12
1993/1994,2,5/7/1993,1,1,0,0,15,0,17
1993/1994,3,5/14/1993,0,0,0,0,10,0,10
1993/1994,4,5/21/1993,0,0,0,1,9,0,10
1993/1994,5,5/28/1993,0,0,0,0,18,0,18
1993/1994,6,6/4/1993,0,0,0,0,18,1,19
1993/1994,7,6/11/1993,0,0,0,0,12,0,12
1993/1994,8,6/18/1993,0,2,0,0,18,2,22
1993/1994,9,6/25/1993,4,1,0,0,7,0,12
1993/1994,10,7/2/1993,0,1,0,0,20,0,21
1993/1994,11,7/9/1993,1,1,0,0,16,0,18
1993/1994,12,7/16/1993,0,3,0,1,12,0,16
1993/1994,13,7/23/1993,1,0,0,0,15,0,16
1993/1994,14,7/30/1993,2,1,0,1,18,0,22
1993/1994,15,8/6/1993,0,1,0,0,16,0,17
1993/1994,16,8/13/1993,1,1,0,1,22,0,25
1993/1994,17,8/20/1993,0,2,0,2,18,1,23
1993/1994,18,8/27/1993,1,1,0,1,9,0,12
1993/1994,19,9/3/1993,2,2,0,1,19,1,25
1993/1994,20,9/10/1993,0,1,0,0,27,0,28
1993/1994,21,9/17/1993,3,2,0,2,20,0,27
1993/1994,22,9/24/1993,1,1,0,0,16,0,18
1993/1994,23,10/1/1993,1,1,0,0,21,0,23
1993/1994,24,10/8/1993,1,3,0,0,18,1,23
1993/1994,25,10/15/1993,1,2,0,0,26,0,29
1993/1994,26,10/22/1993,4,6,0,0,27,1,38
1993/1994,27,10/29/1993,2,3,0,2,28,1,36
1993/1994,28,11/5/1993,6,7,0,3,27,0,43
1993/1994,29,11/12/1993,5,5,0,0,34,2,46
1993/1994,30,11/19/1993,6,5,0,0,18,2,31
1993/1994,31,11/26/1993,2,5,0,0,18,0,25
1993/1994,32,12/3/1993,7,4,0,2,22,5,40
1993/1994,33,12/10/1993,2,3,0,1,20,5,31
1993/1994,34,12/17/1993,1,2,0,0,32,3,38
1993/1994,35,12/24/1993,5,7,0,1,17,0,30
1993/1994,36,1/1/1994,2,3,0,0,17,0,22
1993/1994,37,1/8/1994,2,5,0,0,24,0,31
1993/1994,38,1/15/1994,3,4,0,0,19,0,26
1993/1994,39,1/22/1994,4,5,0,1,23,2,35
1993/1994,40,1/29/1994,3,9,0,1,21,2,36
1993/1994,41,2/5/1994,4,7,0,2,24,2,39
1993/1994,42,2/12/1994,6,5,0,1,13,0,25
1993/1994,43,2/19/1994,1,2,0,1,27,0,31
1993/1994,44,2/26/1994,3,5,0,2,27,0,37
1993/1994,45,3/5/1994,6,3,0,1,23,0,33
1993/1994,46,3/12/1994,4,3,0,1,17,0,25
1993/1994,47,3/19/1994,4,4,0,2,14,0,24
1993/1994,48,3/26/1994,0,1,0,0,17,0,18
1993/1994,49,4/2/1994,0,4,0,0,19,0,23
1993/1994,50,4/9/1994,0,2,0,0,11,0,13
1993/1994,51,4/16/1994,2,1,0,0,15,0,18
1993/1994,52,4/23/1994,1,3,0,0,10,0,14
1994/1995,1,4/30/1994,2,1,0,1,13,0,17
1994/1995,2,5/7/1994,2,4,0,0,16,0,22
1994/1995,3,5/14/1994,2,0,0,0,11,0,13
1994/1995,4,5/21/1994,2,3,0,2,17,0,24
1994/1995,5,5/28/1994,2,7,0,0,22,0,31
1994/1995,6,6/4/1994,3,5,0,2,23,1,34
1994/1995,7,6/11/1994,3,4,0,2,22,0,31
1994/1995,8,6/18/1994,4,2,0,3,21,1,31
1994/1995,9,6/25/1994,1,7,0,5,23,2,38
1994/1995,10,7/2/1994,2,4,0,2,40,1,49
1994/1995,11,7/9/1994,1,6,0,0,28,7,42
1994/1995,12,7/16/1994,0,7,0,2,33,7,49
1994/1995,13,7/23/1994,1,8,0,6,34,6,55
1994/1995,14,7/30/1994,4,18,0,1,46,11,80
1994/1995,15,8/6/1994,0,14,0,8,51,11,84
1994/1995,16,8/13/1994,3,10,0,3,49,7,72
1994/1995,17,8/20/1994,4,12,0,0,65,8,89
1994/1995,18,8/27/1994,2,12,0,3,64,34,115
1994/1995,19,9/3/1994,6,10,0,4,91,68,179
1994/1995,20,9/10/1994,1,14,0,3,59,125,202
1994/1995,21,9/17/1994,2,6,0,3,96,165,272
1994/1995,22,9/24/1994,9,14,0,6,90,183,302
1994/1995,23,10/1/1994,0,12,0,2,120,261,395
1994/1995,24,10/8/1994,2,24,0,7,137,256,426
1994/1995,25,10/15/1994,3,16,0,4,148,290,461
1994/1995,26,10/22/1994,6,13,0,1,111,250,381
1994/1995,27,10/29/1994,2,10,0,3,82,236,333
1994/1995,28,11/5/1994,2,12,0,1,73,265,353
1994/1995,29,11/12/1994,3,5,0,1,64,337,410
1994/1995,30,11/19/1994,2,1,0,1,114,246,364
1994/1995,31,11/26/1994,3,4,0,1,112,239,359
1994/1995,32,12/3/1994,2,8,0,6,78,194,288
1994/1995,33,12/10/1994,1,6,0,2,81,131,221
1994/1995,34,12/17/1994,4,9,0,0,48,88,149
1994/1995,35,12/24/1994,3,7,0,3,41,58,112
1994/1995,36,1/1/1995,3,6,0,1,65,79,154
1994/1995,37,1/8/1995,0,9,0,0,40,42,91
1994/1995,38,1/15/1995,1,3,0,2,51,15,72
1994/1995,39,1/22/1995,3,5,0,2,41,5,56
1994/1995,40,1/29/1995,5,2,0,3,26,10,46
1994/1995,41,2/5/1995,0,0,0,0,31,6,37
1994/1995,42,2/12/1995,0,0,0,1,20,5,26
1994/1995,43,2/19/1995,0,1,0,0,16,0,17
1994/1995,44,2/26/1995,0,0,0,1,15,1,17
1994/1995,45,3/5/1995,0,1,0,0,16,3,20
1994/1995,46,3/12/1995,1,0,0,0,10,0,11
1994/1995,47,3/19/1995,1,0,0,0,6,0,7
1994/1995,48,3/26/1995,2,0,0,1,13,0,16
1994/1995,49,4/2/1995,2,0,0,1,10,1,14
1994/1995,50,4/9/1995,1,3,0,1,11,0,16
1994/1995,51,4/16/1995,1,0,0,0,4,0,5
1994/1995,52,4/23/1995,0,0,0,0,2,0,2
1995/1996,1,4/30/1995,0,0,0,0,6,0,6
1995/1996,2,5/7/1995,0,1,0,0,4,0,5
1995/1996,3,5/14/1995,0,0,0,1,3,0,4
1995/1996,4,5/21/1995,0,0,0,0,3,0,3
1995/1996,5,5/28/1995,0,0,0,0,4,0,4
1995/1996,6,6/4/1995,2,1,0,1,12,0,16
1995/1996,7,6/11/1995,1,0,0,1,6,0,8
1995/1996,8,6/18/1995,0,0,0,0,6,1,7
1995/1996,9,6/25/1995,1,0,0,1,7,1,10
1995/1996,10,7/2/1995,1,0,0,0,11,2,14
1995/1996,11,7/9/1995,0,0,0,1,6,0,7
1995/1996,12,7/16/1995,1,1,0,1,5,1,9
1995/1996,13,7/23/1995,0,0,0,0,10,1,11
1995/1996,14,7/30/1995,1,4,0,0,15,3,23
1995/1996,15,8/6/1995,0,2,0,1,11,3,17
1995/1996,16,8/13/1995,0,0,0,1,17,1,19
1995/1996,17,8/20/1995,0,1,0,1,18,4,24
1995/1996,18,8/27/1995,0,1,0,0,13,3,17
1995/1996,19,9/3/1995,4,1,0,0,21,2,28
1995/1996,20,9/10/1995,1,2,0,5,30,2,40
1995/1996,21,9/17/1995,4,1,0,0,26,2,33
1995/1996,22,9/24/1995,2,3,0,1,21,4,31
1995/1996,23,10/1/1995,2,1,0,2,25,3,33
1995/1996,24,10/8/1995,2,1,0,0,26,0,29
1995/1996,25,10/15/1995,2,3,0,3,19,3,30
1995/1996,26,10/22/1995,1,1,0,1,27,6,36
1995/1996,27,10/29/1995,3,3,0,2,34,6,48
1995/1996,28,11/5/1995,0,0,0,2,28,10,40
1995/1996,29,11/12/1995,0,1,0,1,14,12,28
1995/1996,30,11/19/1995,0,1,0,1,28,6,36
1995/1996,31,11/26/1995,0,0,0,1,16,2,19
1995/1996,32,12/3/1995,0,0,0,0,18,16,34
1995/1996,33,12/10/1995,0,0,0,1,12,10,23
1995/1996,34,12/17/1995,0,0,0,1,13,3,17
1995/1996,35,12/24/1995,0,0,0,0,15,2,17
1995/1996,36,1/1/1996,0,1,0,1,20,1,23
1995/1996,37,1/8/1996,1,0,0,1,12,0,14
1995/1996,38,1/15/1996,2,0,0,0,18,0,20
1995/1996,39,1/22/1996,1,0,0,0,12,0,13
1995/1996,40,1/29/1996,0,1,0,0,20,2,23
1995/1996,41,2/5/1996,1,0,0,3,14,2,20
1995/1996,42,2/12/1996,0,0,0,0,16,0,16
1995/1996,43,2/19/1996,0,1,0,0,14,1,16
1995/1996,44,2/26/1996,2,0,0,0,19,2,23
1995/1996,45,3/4/1996,1,1,0,1,11,0,14
1995/1996,46,3/11/1996,0,0,0,1,10,4,15
1995/1996,47,3/18/1996,0,0,0,0,3,1,4
1995/1996,48,3/25/1996,0,1,0,0,4,0,5
1995/1996,49,4/1/1996,0,0,0,0,4,1,5
1995/1996,50,4/8/1996,2,1,0,1,4,3,11
1995/1996,51,4/15/1996,0,0,0,1,9,1,11
1995/1996,52,4/22/1996,2,0,0,0,4,1,7
1996/1997,1,4/29/1996,1,0,0,0,3,0,4
1996/1997,2,5/6/1996,0,0,0,1,5,0,6
1996/1997,3,5/13/1996,0,0,0,2,3,0,5
1996/1997,4,5/20/1996,0,0,0,0,2,0,2
1996/1997,5,5/27/1996,0,0,0,1,3,0,4
1996/1997,6,6/3/1996,0,0,0,0,2,0,2
1996/1997,7,6/10/1996,0,0,0,1,2,1,4
1996/1997,8,6/17/1996,3,1,0,0,2,0,6
1996/1997,9,6/24/1996,2,0,0,1,3,0,6
1996/1997,10,7/1/1996,0,1,0,2,0,1,4
1996/1997,11,7/8/1996,0,0,0,2,2,2,6
1996/1997,12,7/15/1996,1,2,0,1,5,2,11
1996/1997,13,7/22/1996,2,1,0,0,10,3,16
1996/1997,14,7/29/1996,1,0,0,2,5,1,9
1996/1997,15,8/5/1996,1,2,0,1,7,1,12
1996/1997,16,8/12/1996,1,2,0,0,7,3,13
1996/1997,17,8/19/1996,0,4,0,1,18,4,27
1996/1997,18,8/26/1996,1,0,0,2,13,5,21
1996/1997,19,9/2/1996,2,2,0,1,11,3,19
1996/1997,20,9/9/1996,1,1,0,0,13,2,17
1996/1997,21,9/16/1996,1,1,0,1,18,3,24
1996/1997,22,9/23/1996,2,0,0,1,16,8,27
1996/1997,23,9/30/1996,1,1,0,1,19,8,30
1996/1997,24,10/7/1996,0,1,0,1,21,6,29
1996/1997,25,10/14/1996,1,1,0,1,14,8,25
1996/1997,26,10/21/1996,0,0,0,2,23,10,35
1996/1997,27,10/28/1996,2,1,0,2,20,8,33
1996/1997,28,11/4/1996,1,3,0,0,21,5,30
1996/1997,29,11/11/1996,1,2,0,1,13,12,29
1996/1997,30,11/18/1996,3,0,0,3,15,10,31
1996/1997,31,11/25/1996,0,1,0,4,22,2,29
1996/1997,32,12/2/1996,0,4,0,4,11,3,22
1996/1997,33,12/9/1996,2,1,0,3,15,6,27
1996/1997,34,12/16/1996,1,1,0,3,15,4,24
1996/1997,35,12/23/1996,0,1,0,4,16,5,26
1996/1997,36,1/1/1997,2,1,0,1,19,6,29
1996/1997,37,1/8/1997,0,0,0,3,18,1,22
1996/1997,38,1/15/1997,0,0,0,2,26,5,33
1996/1997,39,1/22/1997,0,3,0,1,12,8,24
1996/1997,40,1/29/1997,0,2,0,0,19,9,30
1996/1997,41,2/5/1997,0,1,0,0,15,4,20
1996/1997,42,2/12/1997,2,1,0,0,9,5,17
1996/1997,43,2/19/1997,2,1,0,0,17,4,24
1996/1997,44,2/26/1997,0,1,0,4,16,7,28
1996/1997,45,3/5/1997,2,0,0,0,11,5,18
1996/1997,46,3/12/1997,0,0,0,1,9,3,13
1996/1997,47,3/19/1997,0,0,0,2,4,3,9
1996/1997,48,3/26/1997,0,0,0,1,12,1,14
1996/1997,49,4/2/1997,1,0,0,0,9,1,11
1996/1997,50,4/9/1997,0,0,0,0,10,1,11
1996/1997,51,4/16/1997,2,0,0,1,14,2,19
1996/1997,52,4/23/1997,0,0,0,1,9,0,10
1997/1998,1,4/30/1997,0,0,0,1,7,0,8
1997/1998,2,5/7/1997,0,0,0,1,7,0,8
1997/1998,3,5/14/1997,1,0,0,1,7,0,9
1997/1998,4,5/21/1997,0,0,0,0,3,0,3
1997/1998,5,5/28/1997,0,0,0,0,7,0,7
1997/1998,6,6/4/1997,0,0,0,0,11,3,14
1997/1998,7,6/11/1997,0,0,0,0,4,0,4
1997/1998,8,6/18/1997,1,0,0,1,4,3,9
1997/1998,9,6/25/1997,0,0,0,0,9,5,14
1997/1998,10,7/2/1997,0,0,0,1,4,2,7
1997/1998,11,7/9/1997,0,0,0,1,7,1,9
1997/1998,12,7/16/1997,0,0,0,0,2,1,3
1997/1998,13,7/23/1997,0,0,0,0,3,0,3
1997/1998,14,7/30/1997,2,0,0,2,8,2,14
1997/1998,15,8/6/1997,1,0,0,1,10,0,12
1997/1998,16,8/13/1997,0,0,0,0,10,0,10
1997/1998,17,8/20/1997,2,0,0,1,17,1,21
1997/1998,18,8/27/1997,1,0,0,2,21,2,26
1997/1998,19,9/3/1997,1,1,0,2,30,13,47
1997/1998,20,9/10/1997,3,1,0,5,25,8,42
1997/1998,21,9/17/1997,4,1,0,0,18,8,31
1997/1998,22,9/24/1997,1,2,0,0,19,12,34
1997/1998,23,10/1/1997,0,0,0,1,23,9,33
1997/1998,24,10/8/1997,0,0,0,9,33,10,52
1997/1998,25,10/15/1997,2,3,0,5,24,22,56
1997/1998,26,10/22/1997,4,0,0,8,38,20,70
1997/1998,27,10/29/1997,2,0,0,2,68,40,112
1997/1998,28,11/5/1997,0,0,0,0,35,35,70
1997/1998,29,11/12/1997,1,0,0,1,23,22,47
1997/1998,30,11/19/1997,2,1,0,3,34,8,48
1997/1998,31,11/26/1997,1,1,0,2,28,17,49
1997/1998,32,12/3/1997,0,0,0,1,31,34,66
1997/1998,33,12/10/1997,0,0,0,2,37,17,56
1997/1998,34,12/17/1997,0,0,0,1,34,26,61
1997/1998,35,12/24/1997,0,3,0,3,36,25,67
1997/1998,36,1/1/1998,0,2,1,1,39,21,64
1997/1998,37,1/8/1998,2,0,0,3,41,22,68
1997/1998,38,1/15/1998,3,0,0,4,28,14,49
1997/1998,39,1/22/1998,0,0,1,2,34,13,50
1997/1998,40,1/29/1998,1,0,0,2,42,11,56
1997/1998,41,2/5/1998,2,3,0,4,49,17,75
1997/1998,42,2/12/1998,2,1,0,4,37,19,63
1997/1998,43,2/19/1998,1,2,0,5,43,11,62
1997/1998,44,2/26/1998,3,0,0,1,31,6,41
1997/1998,45,3/5/1998,2,2,0,9,32,5,50
1997/1998,46,3/12/1998,2,1,0,4,24,3,34
1997/1998,47,3/19/1998,2,1,0,5,23,0,31
1997/1998,48,3/26/1998,4,2,0,4,23,5,38
1997/1998,49,4/2/1998,1,0,0,4,23,2,30
1997/1998,50,4/9/1998,0,0,0,5,24,3,32
1997/1998,51,4/16/1998,3,0,0,4,17,2,26
1997/1998,52,4/23/1998,2,1,1,7,18,1,30
1998/1999,1,4/30/1998,4,2,0,1,27,2,36
1998/1999,2,5/7/1998,2,0,0,7,24,2,35
1998/1999,3,5/14/1998,5,0,0,9,30,2,46
1998/1999,4,5/21/1998,1,4,0,6,33,4,48
1998/1999,5,5/28/1998,3,1,2,7,27,4,44
1998/1999,6,6/4/1998,5,1,0,9,33,3,51
1998/1999,7,6/11/1998,6,1,0,10,37,5,59
1998/1999,8,6/18/1998,1,3,2,4,51,10,71
1998/1999,9,6/25/1998,11,2,0,12,65,12,102
1998/1999,10,7/2/1998,3,1,0,3,87,34,128
1998/1999,11,7/9/1998,8,1,0,17,71,30,127
1998/1999,12,7/16/1998,11,5,0,8,63,63,150
1998/1999,13,7/23/1998,4,5,1,9,93,79,191
1998/1999,14,7/30/1998,2,3,5,9,119,118,256
1998/1999,15,8/6/1998,6,7,2,11,105,198,329
1998/1999,16,8/13/1998,8,3,2,15,70,165,263
1998/1999,17,8/20/1998,5,1,0,11,58,145,220
1998/1999,18,8/27/1998,7,4,2,12,58,121,204
1998/1999,19,9/3/1998,1,1,0,5,44,130,181
1998/1999,20,9/10/1998,0,0,2,0,19,78,99
1998/1999,21,9/17/1998,0,0,0,2,28,24,54
1998/1999,22,9/24/1998,2,1,5,4,27,41,80
1998/1999,23,10/1/1998,2,1,2,2,42,53,102
1998/1999,24,10/8/1998,6,1,1,4,49,66,127
1998/1999,25,10/15/1998,0,1,1,3,42,26,73
1998/1999,26,10/22/1998,1,1,4,4,40,18,68
1998/1999,27,10/29/1998,0,1,0,0,38,25,64
1998/1999,28,11/5/1998,2,1,2,1,25,24,55
1998/1999,29,11/12/1998,1,3,2,5,30,26,67
1998/1999,30,11/19/1998,1,3,3,2,43,32,84
1998/1999,31,11/26/1998,1,3,7,4,54,16,85
1998/1999,32,12/3/1998,1,4,1,0,37,24,67
1998/1999,33,12/10/1998,0,2,1,2,46,22,73
1998/1999,34,12/17/1998,1,3,3,0,50,32,89
1998/1999,35,12/24/1998,2,3,2,2,42,17,68
1998/1999,36,1/1/1999,4,5,10,3,26,11,59
1998/1999,37,1/8/1999,1,0,9,7,35,4,56
1998/1999,38,1/15/1999,2,8,8,3,43,13,77
1998/1999,39,1/22/1999,1,1,8,2,56,7,75
1998/1999,40,1/29/1999,1,2,3,1,33,7,47
1998/1999,41,2/5/1999,0,0,1,2,42,5,50
1998/1999,42,2/12/1999,0,1,1,1,36,3,42
1998/1999,43,2/19/1999,0,0,1,0,27,0,28
1998/1999,44,2/26/1999,0,0,3,1,30,3,37
1998/1999,45,3/5/1999,1,0,0,0,32,4,37
1998/1999,46,3/12/1999,1,0,3,0,23,0,27
1998/1999,47,3/19/1999,0,0,1,0,11,0,12
1998/1999,48,3/26/1999,0,0,1,0,14,0,15
1998/1999,49,4/2/1999,0,0,4,1,17,0,22
1998/1999,50,4/9/1999,0,0,0,1,7,0,8
1998/1999,51,4/16/1999,1,0,1,0,13,0,15
1998/1999,52,4/23/1999,0,0,2,0,15,0,17
1999/2000,1,4/30/1999,0,0,2,0,8,0,10
1999/2000,2,5/7/1999,0,0,1,0,8,0,9
1999/2000,3,5/14/1999,1,0,2,0,8,0,11
1999/2000,4,5/21/1999,0,0,0,1,19,0,20
1999/2000,5,5/28/1999,0,0,2,1,10,0,13
1999/2000,6,6/4/1999,0,0,0,1,10,0,11
1999/2000,7,6/11/1999,0,0,1,0,15,0,16
1999/2000,8,6/18/1999,0,0,1,0,10,0,11
1999/2000,9,6/25/1999,0,0,0,0,7,0,7
1999/2000,10,7/2/1999,0,1,4,0,12,0,17
